metric,pre,post,value,n
psc_rise_time,sst,pvalb,0.0019173890578562127,48
psc_rise_time,sst,sst,0.0017780836035059967,51
psc_rise_time,sst,vip,0.0017582580853545506,45
psc_rise_time,vip,pyr,0.003116114790938551,3
psc_rise_time,vip,pvalb,0.0015027323844979323,6
psc_rise_time,vip,sst,0.00254412384415518,33
psc_rise_time,vip,vip,0.0015890541076684795,18
psc_decay_tau,pyr,pyr,0.003946934668838223,247
psc_decay_tau,pyr,pvalb,0.001465317541365895,93
psc_decay_tau,pyr,sst,0.002975599654718861,86
psc_decay_tau,pyr,vip,0.003168777609472508,23
psc_decay_tau,pvalb,pyr,0.006034265814023748,93
psc_decay_tau,pvalb,pvalb,0.0023509395467536985,196
psc_decay_tau,pvalb,sst,0.003756879538987152,20
psc_decay_tau,pvalb,vip,0.0055594592547607395,6
psc_decay_tau,sst,pyr,0.00745736163593833,66
psc_decay_tau,sst,pvalb,0.0038219200131439516,48
psc_decay_tau,sst,sst,0.006199277238782642,51
psc_decay_tau,sst,vip,0.004906993089296539,45
psc_decay_tau,vip,pyr,0.00983134754291624,3
psc_decay_tau,vip,pvalb,0.002074313329611949,6
psc_decay_tau,vip,sst,0.009099775175229884,33
psc_decay_tau,vip,vip,0.0034293833116202125,18
